Ticker,Company
00005,HSBC Holdings plc
00011,Hang Seng Bank Ltd
00388,HKEx Limited
00939,China Construction Bank
01299,AIA Group Limited
01398,Industrial and Commercial Bank of China
02318,Ping An Insurance
02388,BOC Hong Kong (Holdings) Ltd
02628,China Life
03328,Bank of Communications Ltd
03988,Bank of China Ltd
00002,CLP Holdings Limited
00003,Hong Kong and China Gas Company Limited
00006,Power Assets Holdings Limited
01038,Cheung Kong Infrastructure Holdings Limited
00012,Henderson Land Development Company Limited
00016,Sun Hung Kai Properties Limited
00017,New World Development Company Limited
00083,Sino Land Company Limited
00101,Hang Lung Properties Limited
00688,China Overseas Land & Investment Limited
00823,The Link REIT
01109,China Resources Land Limited
01113,CK Property Holdings Limited
01997,Wharf Real Estate Investment Company Limited
02007,Country Garden
00001,CK Hutchison Holdings Limited
00019,Swire Group
00027,Galaxy Entertainment Group Ltd.
00066,MTR Corporation Ltd
00151,Want Want China Holdings Ltd
00175,Geely Auto
00267,CITIC Pacific Ltd
00288,WH Group
00386,Sinopec Corp
00669,Techtronic Industries
00700,Tencent Holdings Limited
00762,China Unicom (Hong Kong) Limited
00857,PetroChina Company Limited
00883,CNOOC Ltd
00941,China Mobile Ltd
01044,Hengan International Group Co. Ltd
01088,China Shenhua Energy
01093,CSPC Pharmaceutical Group Ltd
01177,Sino Biopharm
01928,Sands China
02018,AAC Tech
02313,Shenzhou International
02319,Mengniu Dairy
02382,Sunny Optical